Total leads: 2326630
+ ---- + ------------------ + --------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       |
+ ---- + ------------------ + --------- + ------ + ------- +
| 1    | Whimsicott         |  7.77782% | 160389 |  6.894% |
| 2    | Incineroar         |  5.91157% | 109208 |  4.694% |
| 3    | Farigiraf          |  5.21109% | 104090 |  4.474% |
| 4    | Grimmsnarl         |  4.70110% | 112868 |  4.851% |
| 5    | Sneasler           |  3.45137% | 74653  |  3.209% |
| 6    | Garchomp           |  3.38958% | 72116  |  3.100% |
| 7    | Charizard-Mega-Y   |  3.24758% | 39878  |  1.714% |
| 8    | Staraptor-Mega     |  3.21829% | 87311  |  3.753% |
| 9    | Floette-Mega       |  3.11616% | 29913  |  1.286% |
| 10   | Kingambit          |  2.70692% | 42350  |  1.820% |
| 11   | Swampert-Mega      |  2.65618% | 50938  |  2.189% |
| 12   | Basculegion        |  2.59759% | 41993  |  1.805% |
| 13   | Pelipper           |  2.50275% | 64039  |  2.752% |
| 14   | Raichu-Mega-Y      |  2.31432% | 53538  |  2.301% |
| 15   | Archaludon         |  2.25581% | 44320  |  1.905% |
| 16   | Metagross-Mega     |  2.09140% | 39543  |  1.700% |
| 17   | Sylveon            |  1.76875% | 28023  |  1.204% |
| 18   | Gholdengo          |  1.74971% | 33836  |  1.454% |
| 19   | Sableye            |  1.68936% | 53958  |  2.319% |
| 20   | Maushold           |  1.40140% | 29571  |  1.271% |
| 21   | Delphox-Mega       |  1.32069% | 17663  |  0.759% |
| 22   | Sinistcha          |  1.24485% | 36393  |  1.564% |
| 23   | Annihilape         |  1.15859% | 22700  |  0.976% |
| 24   | Staraptor          |  1.08968% | 22452  |  0.965% |
| 25   | Aerodactyl-Mega    |  1.07861% | 17243  |  0.741% |
| 26   | Pyroar-Mega        |  1.05108% | 18784  |  0.807% |
| 27   | Mawile-Mega        |  1.02203% | 20198  |  0.868% |
| 28   | Gengar-Mega        |  1.01401% | 19726  |  0.848% |
| 29   | Milotic            |  0.91877% | 24158  |  1.038% |
| 30   | Froslass-Mega      |  0.86897% | 18724  |  0.805% |
| 31   | Blastoise-Mega     |  0.86883% | 11130  |  0.478% |
| 32   | Rotom-Wash         |  0.83452% | 27859  |  1.197% |
| 33   | Aerodactyl         |  0.81645% | 27269  |  1.172% |
| 34   | Talonflame         |  0.81370% | 29131  |  1.252% |
| 35   | Hydreigon          |  0.77657% | 15196  |  0.653% |
| 36   | Glimmora           |  0.68806% | 9805   |  0.421% |
| 37   | Ninetales-Alola    |  0.62077% | 16841  |  0.724% |
| 38   | Sceptile-Mega      |  0.58139% | 23532  |  1.011% |
| 39   | Torkoal            |  0.58011% | 18904  |  0.813% |
| 40   | Scrafty-Mega       |  0.57601% | 15947  |  0.685% |
| 41   | Rotom-Heat         |  0.56790% | 19866  |  0.854% |
| 42   | Kangaskhan         |  0.56362% | 11218  |  0.482% |
| 43   | Eelektross-Mega    |  0.54809% | 21619  |  0.929% |
| 44   | Scovillain-Mega    |  0.52428% | 9197   |  0.395% |
| 45   | Venusaur-Mega      |  0.51895% | 7107   |  0.305% |
| 46   | Gardevoir-Mega     |  0.43806% | 8115   |  0.349% |
| 47   | Dragapult          |  0.42837% | 8687   |  0.373% |
| 48   | Vivillon           |  0.41455% | 7472   |  0.321% |
| 49   | Blaziken-Mega      |  0.41436% | 11874  |  0.510% |
| 50   | Venusaur           |  0.38280% | 9157   |  0.394% |
| 51   | Dragonite-Mega     |  0.37579% | 7041   |  0.303% |
| 52   | Raichu-Mega-X      |  0.37079% | 12632  |  0.543% |
| 53   | Tyranitar-Mega     |  0.36817% | 12675  |  0.545% |
| 54   | Kangaskhan-Mega    |  0.33972% | 4931   |  0.212% |
| 55   | Typhlosion-Hisui   |  0.33325% | 8908   |  0.383% |
| 56   | Toxapex            |  0.32874% | 8914   |  0.383% |
| 57   | Palafin            |  0.32787% | 7767   |  0.334% |
| 58   | Ceruledge          |  0.32413% | 6199   |  0.266% |
| 59   | Glimmora-Mega      |  0.30161% | 3780   |  0.162% |
| 60   | Primarina          |  0.30124% | 9075   |  0.390% |
| 61   | Raichu             |  0.29273% | 8813   |  0.379% |
| 62   | Oranguru           |  0.27290% | 12595  |  0.541% |
| 63   | Dragalge-Mega      |  0.26455% | 9804   |  0.421% |
| 64   | Vileplume          |  0.24260% | 6984   |  0.300% |
| 65   | Tsareena           |  0.24001% | 8203   |  0.353% |
| 66   | Corviknight        |  0.23978% | 8708   |  0.374% |
| 67   | Lopunny-Mega       |  0.23834% | 4561   |  0.196% |
| 68   | Excadrill          |  0.22922% | 7353   |  0.316% |
| 69   | Mamoswine          |  0.22302% | 6487   |  0.279% |
| 70   | Espathra           |  0.19155% | 7269   |  0.312% |
| 71   | Kommo-o            |  0.18475% | 3557   |  0.153% |
| 72   | Meowscarada        |  0.18341% | 6455   |  0.277% |
| 73   | Lycanroc-Dusk      |  0.18092% | 2711   |  0.117% |
| 74   | Gallade            |  0.17967% | 4633   |  0.199% |
| 75   | Ninetales          |  0.17814% | 4418   |  0.190% |
| 76   | Malamar-Mega       |  0.17798% | 10991  |  0.472% |
| 77   | Mimikyu            |  0.17595% | 4565   |  0.196% |
| 78   | Vanilluxe          |  0.17400% | 2925   |  0.126% |
| 79   | Clefable           |  0.17122% | 8439   |  0.363% |
| 80   | Dragonite          |  0.16320% | 5519   |  0.237% |
| 81   | Volcarona          |  0.16101% | 5983   |  0.257% |
| 82   | Kleavor            |  0.14938% | 3696   |  0.159% |
| 83   | Arcanine-Hisui     |  0.14472% | 4791   |  0.206% |
| 84   | Meganium-Mega      |  0.12514% | 4178   |  0.180% |
| 85   | Politoed           |  0.12480% | 5019   |  0.216% |
| 86   | Azumarill          |  0.12399% | 2580   |  0.111% |
| 87   | Hatterene          |  0.11904% | 6654   |  0.286% |
| 88   | Meowstic           |  0.11885% | 8002   |  0.344% |
| 89   | Blaziken           |  0.11074% | 4787   |  0.206% |
| 90   | Weavile            |  0.10990% | 6326   |  0.272% |
| 91   | Scrafty            |  0.10310% | 3555   |  0.153% |
| 92   | Tyranitar          |  0.10024% | 5022   |  0.216% |
| 93   | Starmie-Mega       |  0.09740% | 3262   |  0.140% |
| 94   | Basculegion-F      |  0.09312% | 2920   |  0.126% |
| 95   | Araquanid          |  0.08809% | 3521   |  0.151% |
| 96   | Charizard-Mega-X   |  0.08771% | 2576   |  0.111% |
| 97   | Klefki             |  0.08196% | 3368   |  0.145% |
| 98   | Heliolisk          |  0.08170% | 4654   |  0.200% |
| 99   | Falinks-Mega       |  0.08131% | 4889   |  0.210% |
| 100  | Scizor-Mega        |  0.08083% | 3085   |  0.133% |
| 101  | Barbaracle-Mega    |  0.08037% | 2933   |  0.126% |
| 102  | Slowking-Galar     |  0.07769% | 4283   |  0.184% |
| 103  | Armarouge          |  0.07718% | 2787   |  0.120% |
| 104  | Wyrdeer            |  0.07659% | 3791   |  0.163% |
| 105  | Overqwil           |  0.07346% | 3751   |  0.161% |
| 106  | Jolteon            |  0.07306% | 4485   |  0.193% |
| 107  | Samurott-Hisui     |  0.07208% | 2579   |  0.111% |
| 108  | Aegislash          |  0.07109% | 3689   |  0.159% |
| 109  | Gyarados-Mega      |  0.07041% | 2827   |  0.122% |
| 110  | Snorlax            |  0.06975% | 3795   |  0.163% |
| 111  | Malamar            |  0.06938% | 4050   |  0.174% |
| 112  | Tinkaton           |  0.06686% | 5047   |  0.217% |
| 113  | Chandelure         |  0.06242% | 1805   |  0.078% |
| 114  | Camerupt-Mega      |  0.06160% | 2464   |  0.106% |
| 115  | Metagross          |  0.06010% | 3012   |  0.129% |
| 116  | Houndstone         |  0.05869% | 1738   |  0.075% |
| 117  | Scolipede-Mega     |  0.05734% | 3322   |  0.143% |
| 118  | Garchomp-Mega      |  0.05561% | 2079   |  0.089% |
| 119  | Cofagrigus         |  0.05377% | 3933   |  0.169% |
| 120  | Liepard            |  0.05154% | 3940   |  0.169% |
| 121  | Rotom-Mow          |  0.05096% | 1931   |  0.083% |
| 122  | Orthworm           |  0.04902% | 2393   |  0.103% |
| 123  | Gyarados           |  0.04769% | 2478   |  0.107% |
| 124  | Umbreon            |  0.04656% | 1533   |  0.066% |
| 125  | Blastoise          |  0.04533% | 1165   |  0.050% |
| 126  | Audino             |  0.04478% | 1658   |  0.071% |
| 127  | Chandelure-Mega    |  0.04398% | 2610   |  0.112% |
| 128  | Aggron-Mega        |  0.04313% | 2871   |  0.123% |
| 129  | Scizor             |  0.04289% | 2516   |  0.108% |
| 130  | Chimecho-Mega      |  0.04114% | 1139   |  0.049% |
| 131  | Gliscor            |  0.04071% | 2392   |  0.103% |
| 132  | Gengar             |  0.04067% | 1766   |  0.076% |
| 133  | Lucario            |  0.04042% | 2689   |  0.116% |
| 134  | Musharna           |  0.04028% | 1760   |  0.076% |
| 135  | Drampa-Mega        |  0.03906% | 2017   |  0.087% |
| 136  | Hawlucha-Mega      |  0.03874% | 2538   |  0.109% |
| 137  | Spiritomb          |  0.03819% | 1701   |  0.073% |
| 138  | Greninja-Mega      |  0.03817% | 2157   |  0.093% |
| 139  | Empoleon           |  0.03714% | 2207   |  0.095% |
| 140  | Bellibolt          |  0.03531% | 2558   |  0.110% |
| 141  | Rotom-Frost        |  0.03506% | 1280   |  0.055% |
| 142  | Arcanine           |  0.03475% | 1526   |  0.066% |
| 143  | Banette-Mega       |  0.03439% | 2180   |  0.094% |
| 144  | Mr. Rime           |  0.03196% | 2700   |  0.116% |
| 145  | Reuniclus          |  0.03180% | 1638   |  0.070% |
| 146  | Noivern            |  0.03148% | 2543   |  0.109% |
| 147  | Lucario-Mega       |  0.03118% | 2564   |  0.110% |
| 148  | Skeledirge         |  0.03104% | 1746   |  0.075% |
| 149  | Espeon             |  0.03004% | 843    |  0.036% |
| 150  | Gardevoir          |  0.02890% | 2094   |  0.090% |
| 151  | Swampert           |  0.02743% | 1343   |  0.058% |
| 152  | Tauros-Paldea-Aqua |  0.02712% | 1053   |  0.045% |
| 153  | Serperior          |  0.02673% | 2113   |  0.091% |
| 154  | Greninja           |  0.02641% | 1369   |  0.059% |
| 155  | Skarmory-Mega      |  0.02499% | 1163   |  0.050% |
| 156  | Gourgeist-Super    |  0.02475% | 456    |  0.020% |
| 157  | Infernape          |  0.02451% | 1049   |  0.045% |
| 158  | Slowbro-Mega       |  0.02382% | 1132   |  0.049% |
| 159  | Aromatisse         |  0.02313% | 1118   |  0.048% |
| 160  | Ampharos-Mega      |  0.02236% | 1287   |  0.055% |
| 161  | Clefable-Mega      |  0.02206% | 1858   |  0.080% |
| 162  | Runerigus          |  0.02194% | 1921   |  0.083% |
| 163  | Alakazam-Mega      |  0.02133% | 1308   |  0.056% |
| 164  | Crabominable-Mega  |  0.01990% | 1190   |  0.051% |
| 165  | Altaria-Mega       |  0.01923% | 1154   |  0.050% |
| 166  | Alcremie           |  0.01912% | 2412   |  0.104% |
| 167  | Mudsdale           |  0.01905% | 1079   |  0.046% |
| 168  | Houndoom-Mega      |  0.01892% | 814    |  0.035% |
| 169  | Manectric-Mega     |  0.01788% | 981    |  0.042% |
| 170  | Krookodile         |  0.01775% | 1300   |  0.056% |
| 171  | Slowking           |  0.01756% | 1374   |  0.059% |
| 172  | Pidgeot-Mega       |  0.01754% | 812    |  0.035% |
| 173  | Decidueye-Hisui    |  0.01736% | 1354   |  0.058% |
